Sample,True area of channel,True area of cut,True ratio,Large electrode width,Small electrode width,Electrode ratio,Overshoot,Electrode cut,GBs,Ratio at -60,Saturation ratio,Max ratio,Min ratio,Delta Vth,Positive Vset,Negative Vset,Positive HRS/LRS,Negative HRS/LRS
0.3,60.64,29.06,0.479221636,13.8,9.87,0.715217391,59.74054529,0,0,0.000226,1.485061511,12.214,-0.828571428,-15.83894459,NaN,NaN,1,1
0.5,36.26,27.58,0.760617761,8.52,7.02,0.823943662,52.12355212,0,1,2.336512262,8.24E-05,57.4,-70.66666667,-13.60460769,NaN,NaN,1,1
0.7,52.12,31.28,0.600153492,13.28,7.47,0.5625,-14.26378687,1,1,2.033559509,0.00010093,36.85714286,-10.89189189,-29.80708949,NaN,NaN,1,1
1,51.14,9.1,0.177942902,11.88,6.96,0.585858586,-82.20570982,1,1,188.2242306,1.578124336,391546.875,-554956,24.57870992,15.4,NaN,4.36,1
0.05,56.14,9.94,0.177057357,11.66,11.03,0.945969125,254.1147132,0,1,830.0441176,21.02974252,100000,-9956990,20.23031418,20.3,NaN,1.42,1
0.1,70.43,2.8,0.039755786,14.59,12.67,0.868403016,-60.24421411,1,0,1.873374139,1.177135508,754.9145299,1.026101142,8.944592057,NaN,NaN,1,1
0.2,135.38,0,0,27.81,27.69,0.995685005,-100,1,0,1.068638393,0.227342263,118.3333333,-8.272727273,-5.923564989,5.6,-14,66.47,1.1
0.75,133.88,51.18,0.382282641,20.18,19.85,0.983647175,-49.02898118,1,0,0.917683933,0.397886332,1877.733333,-7815.333333,2.968186183,10.5,-21,51.83,10.46
0.4,99.55,6.91,0.069412356,19.04,12.2,0.640756303,-82.6469111,1,0,4852.30408,2.300042636,224527.095,2.300042636,35.51421433,4.2,-4.2,1.89,2.58
0.6,166.13,30.19,0.181725155,31.65,21.43,0.677093207,-69.71247417,1,0,2.162797532,0.053849513,2.596912521,-1.20E-05,-27.21588685,10.5,-17.5,12.13,19.93
0.8,228.85,84.6,0.369674459,31.62,28.92,0.914611006,-53.79069259,1,1,1.385714286,0.000622961,1.385714286,-0.000193438,-4.129079258,6.3,NaN,1.03,1
0.35,144.38,46.06,0.319019255,21.17,19.3,0.911667454,-8.851641502,1,0,14.43131378,0.086192279,28.51228353,0.077430103,24.65925411,14,-32.9,4.3,19.31
0.001,79.29,1.32,0.016647749,15.07,9.4,0.623755806,1564.774877,0,0,0.95839086,0.360646733,9.58E-01,0.002212888,-21.8725913,18.55,-18.9,2.7,18.05
0.9,53.64,14.89,0.27759135,9.77,8.45,0.864892528,-69.1565167,1,0,1.242273223,0.091326447,1.242273223,0.085179161,26.62881228,22.4,-22.4,1.43,26.16
0.25,139.61,57.42,0.41128859,28.85,28.16,0.976083189,64.51543586,0,1,0.796814508,0.220049642,1.77932639,0.21180901,5.985492794,20.3,-20.3,1.87,7.79
0.55,160.07,93.57,0.584556756,45.64,28.62,0.627081507,6.283046622,0,1,0.764174288,0.054265501,1.535318117,0.054186441,2.968186183,9.2,NaN,2.35,1
